theta,epsilon,epsilon_inverse,V_standard,Vstar_delta,Vstar_rho,shot_coefficient,R_opt_at_x_fixed
2.688440795640530123e-02,8.098411782946346449e-03,1.234810018065273312e+02,1.994118035265708855e+00,1.087711011482097060e-03,1.085214753304491325e-01,1.885596559935259764e+00,1.316641761530463373e+04
2.637347077667882844e-02,7.794700923689723560e-03,1.282922859760778351e+02,1.994121678118694119e+00,1.046768030617810808e-03,1.085250211243238561e-01,1.885596656994370290e+00,1.342144186537548740e+04
2.587233512168965466e-02,7.502389812344190112e-03,1.332908613139018996e+02,1.994125010013817700e+00,1.007370629031001819e-03,1.085284386542423457e-01,1.885596571359575258e+00,1.368137502691736881e+04
2.538079689538292466e-02,7.221043625479151018e-03,1.384841377320504989e+02,1.994128055529448051e+00,9.694593403274567433e-04,1.085317325903735475e-01,1.885596322939074421e+00,1.394631793713103434e+04
2.489865273582468619e-02,6.950242305259091147e-03,1.438798758488351837e+02,1.994130837376752563e+00,9.329767525681305004e-04,1.085349074556509474e-01,1.885595929921101588e+00,1.421637611570905392e+04
2.442572585144863959e-02,6.689594259876141535e-03,1.494858972236852992e+02,1.994133376401775681e+00,8.978693492170706581e-04,1.085379674636630515e-01,1.885595408938112616e+00,1.449164487696368633e+04
2.396183426742372682e-02,6.438717633824087017e-03,1.553104293231879751e+02,1.994135691911854913e+00,8.640849812496035872e-04,1.085409167367200889e-01,1.885594775175134741e+00,1.477222638870702576e+04
2.350682309686758995e-02,6.197257226087660165e-03,1.613617062384389271e+02,1.994137801633384610e+00,8.315751416412069889e-04,1.085437591057956813e-01,1.885594042527588998e+00,1.505821000004072448e+04
2.306049611962207591e-02,5.964847552102470196e-03,1.676488780752700336e+02,1.994139722143590809e+00,8.002899883442049066e-04,1.085464985441066676e-01,1.885593223599484114e+00,1.534971486379136513e+04
2.262271125502025165e-02,5.741162904570384917e-03,1.741807394463457968e+02,1.994141468533511485e+00,7.701850809022728903e-04,1.085491385766433059e-01,1.885592329956868207e+00,1.564682951509233499e+04
2.219326605660951537e-02,5.525857587302507312e-03,1.809673854602825998e+02,1.994143054985984875e+00,7.412133324473004891e-04,1.085516829838152481e-01,1.885591372002169530e+00,1.594968755457211591e+04
2.177202004852250850e-02,5.318628111486645160e-03,1.880184098302152904e+02,1.994144494370885035e+00,7.133333777082423097e-04,1.085541350664853133e-01,1.885590359304399666e+00,1.625838493378230669e+04
2.135882044463955146e-02,5.119174511326707311e-03,1.953439949717275113e+02,1.994145798631314026e+00,6.865043634807560177e-04,1.085564981013226044e-01,1.885589300529991519e+00,1.657302943111886270e+04
2.095348127120275072e-02,4.927190880471443712e-03,2.029554008072684894e+02,1.994146978894824507e+00,6.606846743922671064e-04,1.085587754528032911e-01,1.885588203442021271e+00,1.689375960092976675e+04
2.055587821004806540e-02,4.742410253731121905e-03,2.108632417900251426e+02,1.994148045257475577e+00,6.358379669757261527e-04,1.085609700401629490e-01,1.885587075217312725e+00,1.722067093135366304e+04
